mN/GeV	c tau (meters) for Utau = 1
0.1	383.6166379078997
0.10131254692562633	359.4021057119752
0.10264232164557235	336.7160487926027
0.1039895502827228	315.46198525018633
0.10535446192793131	295.54952350784407
0.10673728867897654	276.8939778573233
0.10813826568002934	259.41600827448985
0.10955763116163819	243.04128297224088
0.1109956264812393	227.70016225544333
0.11245249616419847	213.32740233310258
0.11392848794539173	199.86187782787889
0.11542385281133152	187.24632180260616
0.1169388450428461	175.42708219798024
0.11847372225831888	164.3538936454076
0.12002874545749555	153.97966368440026
0.12160417906586572	144.26027247518843
0.12320029097962787	135.15438515461713
0.12481735261124366	126.62327603719336
0.1264556389355907	118.63066391352044
0.12811542853672092	111.1425577455728
0.12979700365523264	104.12711210248783
0.13150065023626448	97.55449172198266
0.1332266579781192	91.39674462132545
0.1349753203815257	85.62768321815435
0.1367469347995477	77.83856328037788
0.1385418024881474	67.22793494560968
0.14036022865741288	56.18775438513872
0.14220252252345783	46.18338434172753
0.14406899736100254	37.764186385796826
0.14595997055664506	30.94007515273555
0.1478757636628314	25.49905635495394
0.1498167024525343	21.179741837727615
0.1517831169746498	17.742762240425478
0.15377534161012038	14.991461929403657
0.15579371512879533	12.771830291184388
0.1578385807470374	10.965764820079036
0.15991028618608485	9.483369735667212
0.1620091837311806	8.256224856593237
0.16413563029147651	7.232046788504367
0.16628998746072468	6.370633044093389
0.16847262157876478	5.640840336042513
0.17068390379381893	5.018350215321848
0.1729242101256037	4.484018413184172
0.17519392152927094	4.022651885901225
0.17749342396018752	3.622098119792966
0.17982310843956587	3.272562643242241
0.1821833711209551	2.9660939440698586
0.1845746133576056	2.6961918527816513
0.1869972417707175	2.457507563751329
0.18945166831858506	2.2456121392405937
0.19193831036664843	2.0568165568739656
0.194457590758465	1.888030830378755
0.19700993788761226	1.736652962044914
0.19959578577053444	1.6004808309973702
0.20221557412034527	1.4776418360700692
0.20486974842159944	1.3665363736894973
0.2075587600060456	1.2657921655920485
0.21028306612937306	1.1742271478795014
0.2130431300489669	1.0908191525512878
0.21583942110268264	1.014680941818145
0.21867241478865562	0.945039645286788
0.2215425928461569	0.8812198408692893
0.22445044333751205	0.8226294174362934
0.22739646073109315	0.7687477324773635
0.23038114598540224	0.7191156620537452
0.23340500663425628	0.6733272106920138
0.23646855687309218	0.6310224112823178
0.23957231764640283	0.5918812956094232
0.24271681673632242	0.5556187567189272
0.2459025888523731	0.521980156877885
0.24913017572239052	0.49073756107686606
0.25240012618464214	0.46168649715490206
0.2557129962811556	0.4346431607462179
0.2590693493522709	0.4094419971627791
0.26246975613243423	0.3859336036800671
0.26591479484724945	0.36398290499033387
0.2694050513118026	0.34346756222728153
0.2729411190302776	0.32427658226573264
0.27652359929687964	0.30630909921191163
0.2801531012980821	0.28947330432622537
0.2838302422162168	0.27368550422282734
0.2875556473344235	0.25886929019912075
0.2913299501429763	0.24495480406894585
0.29515379244700674	0.2318780879908463
0.2990278244756394	0.21958050756696357
0.3029527049925617	0.20800823899529206
0.30692910140804336	0.1971118123347013
0.31095768989242706	0.1868457040262213
0.3150391554911087	0.17716797273700785
0.3191741922410265	0.1680399333809778
0.32336350328867863	0.15942586484376292
0.3276078010096919	0.15129274751717256
0.3319078071299565	0.14361002724459782
0.3362642528483545	0.13634940270605847
0.34067787896109597	0.12948463364031945
0.3451494359876887	0.12299136762026969
0.3496796842985617	0.1168469833739523
0.3542693942443623	0.11103044888337224
0.3589193462869517	0.10552219270168772
0.3636303311321192	0.10030398711104879
0.36840314986403866	0.09535884190188515
0.3732386140814896	0.09067090769307248
0.3781375460358665	0.08622538783380686
0.3831007787709991	0.08200845803453322
0.3881291562648084	0.07800719296785262
0.39322353357282136	0.07420949916270243
0.3983847769735707	0.0706040535876964
0.4036137641159006	0.06718024738360319
0.40891138416820844	0.06392813426158897
0.4142785379696444	0.06083838313401387
0.41971613818329456	0.057902234589036594
0.4252251094513769	0.05511146085975549
0.4308063885524723	0.05245832897371228
0.4364609245608194	0.04993556679981656
0.4421896790077028	0.047536331737590504
0.4479936260449553	0.045254181818478324
0.45387375261061014	0.043083049011157164
0.45983105859672563	0.041017214542645626
0.4658665570194118	0.03905128606478605
0.4719812741910913	0.03718017651161831
0.47817624989501856	0.03539908450747842
0.4844525375620908	0.03370347619850904
0.49081120444998066	0.03208906839184135
0.49725333182461845	0.03055181289712329
0.5037800151440569	0.029087881974459023
0.5103923642447501	0.02769365480129875
0.517091503530276	0.026365704878471567
0.5238785721625376	0.025100788302473902
0.5307547242554721	0.023895832837387363
0.5377211290713038	0.02274792772547509
0.5447789712193724	0.02165431418064605
0.5519294508575707	0.020611060736014077
0.5591737838964281	0.019609997814418523
0.5665132022058691	0.01864978415182543
