mN/GeV	c tau (meters) for Utau = 1
1.526215183090857	0.00018965609779004417
1.5462474735549578	0.00017760397500603205
1.5665426972316794	0.00016631955684638883
1.587104305242817	0.00015575378714726955
1.6079357940077643	0.00014586075737231752
1.6290407058380587	0.00013659750357445193
1.650422629539737	0.00012792381654259176
1.6720852010236016	0.00011980206427004038
1.694032103923491	0.00011219702593841705
1.7162670702226612	0.0001050757366640751
1.7387938808884054	0.00009840734230385012
1.7616163665149842	0.00009216296366326811
1.7847384079750073	0.00008631556949308513
1.808163937079355	0.00008083985715134172
1.8318969372457745	0.00007571213617021419
1.8559414441762372	0.00007091021643793613
1.8803015465431967	0.0000664133083040743
1.904981386684853	0.00006220192926670088
1.9299851613095393	0.00005825566657130257
1.9553171222093524	0.00005455978741483589
1.9809815769831558	0.000051096992701328725
2.0069828897690725	0.00004785202772131652
2.0333254819865823	0.00004481062837621375
2.0600138330883735	0.00004195947619512602
2.0870524813220515	0.0000392861519072648
2.1144460245018535	0.0000367790879535398
2.14219912079048	0.000034427520381331654
2.170316489491209	0.00003222144059935875
2.1988029118503873	0.00003015154746583978
2.2276632318704612	0.000028209200152704043
2.2569023571336846	0.00002638637218100882
2.2865252596366323	0.000024670050206746532
2.316536976635662	0.000023063510600295327
2.3469426115034895	0.000021555625155044007
2.3777473345969935	0.000020140411273930436
2.4089563841364074	0.000018812298608827635
2.440575067096068	0.00001756609492968346
2.4726087601068407	0.000016396954414002535
2.505062910370391	0.00001530034835676531
2.537943036585462	0.00001427203826927784
2.5712547298863115	0.00001330805130776427
2.6050036547934563	0.000012404657949094016
2.6391955501769018	0.000011558351811477076
2.673836230232015	0.000010765831502156496
2.708931585468209	0.00001002398436175238
2.7444875837105913	9.329871965938222e-6
2.78051027111478	8.680717239462741e-6
2.817005773195022	8.073893034766598e-6
2.85398029586581	7.506912027507949e-6
2.891440126497177	6.97741778406287e-6
2.929391634983841	6.483176860890851e-6
2.967841274828377	6.02207180258692e-6
3.006795584238605	5.592094913825403e-6
3.046261187239396	5.191342690138037e-6
3.086244794799057	4.818010802916023e-6
3.126753205970494	4.470389545116341e-6
3.167793309047381	4.1468596553132784e-6
3.20937208273548	3.845888448814989e-6
3.251496597339333	3.5660261952844693e-6
3.294174015964554	3.30590269237264e-6
3.3374115957358788	3.0642239942665907e-6
3.3812166890312074	2.8397692624955033e-6
3.4255967447318496	2.6313877139563465e-6
3.470559309489182	2.437995647607867e-6
3.5161120290079215	2.258573536978468e-6
3.5622626493462413	2.0921631775852974e-6
3.609019018232971	1.937863167541118e-6
3.6563890864020583	1.7938328581209845e-6
3.704380908944564	1.6611337954486564e-6
3.7530026466784037	1.5001657988201929e-6
3.802262567536056	1.3843288708405234e-6
3.8521690479704924	1.277101722869698e-6
3.902730574379557	1.1778965242730678e-6
3.953955744549053	1.0861606253092264e-6
4.005853269114758	1.0013743378783878e-6
4.058431973043625	9.23049492203014e-7
4.111700797134444	8.507275068795678e-7
4.165668799538188	7.839777766950557e-7
4.2203451572983	7.223966703578205e-7
4.2757391679112375	6.656057601399187e-7
4.331860250907458	6.132510142928702e-7
4.388717949453171	5.650013987555622e-7
4.446321931973128	5.205478035375034e-7
4.504681993794694	4.796019940637171e-7
4.563808058813488	4.4189545985108166e-7
4.62371018118093	4.071784349804991e-7
4.68439854701389	3.7521885248180834e-7
4.7458834761268065	3.4580130977861457e-7
4.808175423786515	3.187261087966839e-7
4.871284982490146	2.938083557270188e-7
4.935222883766319	2.708769206615358e-7
5.	2.4977367872272e-7
